UserId	RestaurantName	TotalRating
U1077	Tortas Locas Hipocampo	6
U1077	Restaurant la Chalita	5
U1077	puesto de tacos	6
U1077	Restaurante Marisco Sam	5
U1068	vips	4
U1068	Carreton de Flautas y Migadas	0
U1068	tacos abi	3
U1068	Taqueria EL amigo 	0
U1068	palomo tec	3
U1067	Gorditas Dona Tota	6
U1067	Little Cesarz	3
U1067	Taqueria EL amigo 	5
U1067	palomo tec	2
U1067	vips	0
U1067	puesto de gorditas	1
U1103	Gorditas Dona Tota	4
U1103	Taqueria EL amigo 	2
U1103	palomo tec	3
U1103	carnitas_mata	6
U1103	little pizza Emilio Portes Gil	5
U1103	vips	3
U1103	tacos abi	3
U1103	Little Cesarz	6
U1107	carnitas mata calle Emilio Portes Gil	5
U1107	Gorditas Dona Tota	6
U1107	Little Cesarz	6
U1044	Cafeteria cenidet	6
U1044	McDonalds Centro	4
U1070	Hamburguesas La perica	5
U1070	Pollo_Frito_Buenos_Aires	3
U1070	carnitas_mata	2
U1031	tacos abi	0
U1031	TACOS CORRECAMINOS	0
U1031	TACOS EL GUERO	0
U1082	palomo tec	3
U1023	tacos de la estacion	0
U1023	tortas hawai	0
U1082	carnitas_mata	0
U1082	tacos de barbacoa enfrente del Tec	0
U1082	Hamburguesas La perica	0
U1082	Pollo_Frito_Buenos_Aires	0
U1082	tacos abi	0
U1082	puesto de gorditas	0
U1060	churchs	6
U1060	tortas hawai	6
U1060	Little Cesarz	5
U1060	Carreton de Flautas y Migadas	4
U1015	Restaurante la Cantina	0
U1123	Little Cesarz	4
U1123	Hamburguesas La perica	4
U1123	vips	6
U1123	Gorditas Dona Tota	3
U1123	little pizza Emilio Portes Gil	4
U1123	Carreton de Flautas y Migadas	3
U1123	carnitas_mata	4
U1123	tacos de barbacoa enfrente del Tec	3
U1021	Carreton de Flautas y Migadas	5
U1026	la perica hamburguesa	6
U1021	TACOS EL GUERO	6
U1021	tacos de la estacion	5
U1044	Chilis Cuernavaca	0
U1083	Michiko Restaurant Japones	6
U1083	Gordas de morales	3
U1083	Restaurante El Reyecito	5
U1108	Mariscos El Pescador	6
U1108	Cafe Chaires	4
U1108	Restaurante la Parroquia Potosina	5
U1108	La Virreina	3
U1108	Tortas Locas Hipocampo	4
U1108	Cafeteria y Restaurant El Pacifico	5
U1108	Mcdonalds Parque Tangamanga	2
U1108	Gordas de morales	6
U1108	Restaurante El Reyecito	4
U1108	Restaurante Tiberius	3
U1012	Vips	4
U1012	Restaurant and Bar and Clothesline Carlos N Charlies	6
U1012	Sanborns Casa Piedra	6
U1093	Restaurant Bar Coty y Pablo	6
U1093	Sanborns Casa Piedra	6
U1093	Vips	6
U1093	Log Yin	5
U1093	Kiku Cuernavaca	6
U1030	El Oceano Dorado	6
U1093	Giovannis	5
U1030	Restaurant Las Mananitas	6
U1012	Restaurant Las Mananitas	6
U1012	El Oceano Dorado	6
U1030	Cafeteria cenidet	2
U1093	Restaurant Familiar El Chino	6
U1030	Arrachela Grill	0
U1093	Los Vikingos	2
U1030	Restaurant Familiar El Chino	0
U1030	Restaurant Bar Coty y Pablo	0
U1030	Paniroles	0
U1030	Sanborns Casa Piedra	0
U1066	Los Vikingos	5
U1066	Kiku Cuernavaca	3
U1127	Rincon del Bife	6
U1127	Subway	4
U1127	Chilis Cuernavaca	4
U1127	Sanborns Casa Piedra	6
U1017	Mariscos Tia Licha	3
U1066	Restaurant Bar Coty y Pablo	3
U1017	Rincon del Bife	4
U1017	Restaurant and Bar and Clothesline Carlos N Charlies	1
U1066	Restaurant Familiar El Chino	4
U1100	Subway	3
U1100	Sanborns Casa Piedra	4
U1066	Giovannis	5
U1100	Restaurant los Pinos	4
U1100	Vips	6
U1100	Mariscos Tia Licha	6
U1100	Log Yin	5
U1133	Restaurant and Bar and Clothesline Carlos N Charlies	3
U1133	Restaurant Las Mananitas	6
U1133	Mikasa	2
U1133	Restaurant Familiar El Chino	0
U1133	Subway	6
U1133	Vips	6
U1133	Rincon del Bife	3
U1133	Restaurant Teely	4
U1133	Restaurant Bar Coty y Pablo	3
U1118	Chilis Cuernavaca	0
U1072	Arrachela Grill	5
U1072	El cotorreo	5
U1072	Cafeteria cenidet	1
U1026	cafe ambar	3
U1026	Gorditas Dona Tota	2
U1026	Carnitas Mata  Calle 16 de Septiembre	0
U1026	TACOS CORRECAMINOS	6
U1023	Carreton de Flautas y Migadas	0
U1023	Little Cesarz	6
U1080	TACOS EL GUERO	3
U1080	carnitas mata calle Emilio Portes Gil	6
U1080	Little Cesarz	3
U1080	Hamburguesas La perica	6
U1063	carnitas mata calle Emilio Portes Gil	6
U1063	Gorditas Dona Tota	4
U1063	Pollo_Frito_Buenos_Aires	2
U1063	vips	4
U1063	little pizza Emilio Portes Gil	4
U1080	churchs	3
U1080	tacos de la estacion	3
U1082	Taqueria EL amigo 	0
U1082	Little Cesarz	0
U1074	Los Vikingos	5
U1074	Chilis Cuernavaca	6
U1074	Log Yin	6
U1117	El Oceano Dorado	3
U1117	Mikasa	1
U1117	Cafeteria cenidet	4
U1117	Arrachela Grill	5
U1117	El cotorreo	5
U1117	Restaurant los Pinos	3
U1118	McDonalds Centro	0
U1118	Mariscos Tia Licha	0
U1118	Subway	2
U1118	Restaurant and Bar and Clothesline Carlos N Charlies	0
U1118	Vips	0
U1118	Restaurant Teely	0
U1020	Cafeteria cenidet	3
U1020	Mariscos Tia Licha	6
U1020	Sanborns Casa Piedra	3
U1020	Paniroles	5
U1051	Cafeteria cenidet	3
U1051	Paniroles	3
U1051	Mariscos Tia Licha	4
U1055	Restaurante Versalles	5
U1055	Mariscos El Pescador	6
U1055	Cafe Chaires	6
U1055	La Virreina	6
U1055	El Rincon de San Francisco	6
U1083	Cafe Chaires	6
U1083	Restaurante de Mariscos la Langosta	0
U1055	El Rinc�n de San Francisco	6
U1083	Sushi Itto	5
U1083	Restaurante la Parroquia Potosina	6
U1083	La Estrella de Dimas	6
U1083	Restaurant Wu Zhuo Yi	5
U1055	Restaurante Bar Fu-hao	6
U1055	Restaurante Casa de las Flores	6
U1055	Cabana Huasteca	6
U1055	puesto de tacos	6
U1053	Restaurante Pueblo Bonito	3
U1053	Cafeteria y Restaurant El Pacifico	5
U1053	puesto de tacos	3
U1053	Restaurante Alhondiga	5
U1035	El Oceano Dorado	4
U1035	El cotorreo	5
U1053	Restaurant Oriental Express	5
U1053	La Fontana Pizza Restaurante and Cafe	4
U1053	Cabana Huasteca	4
U1035	McDonalds Centro	3
U1053	El Club	5
U1053	El Rincon de San Francisco	5
U1053	Restaurant la Chalita	5
U1053	Restaurante Marisco Sam	5
U1053	Restaurante El Cielo Potosino	4
U1053	Restaurante Casa de las Flores	6
U1064	Restaurant Oriental Express	4
U1081	Abondance Restaurante Bar	2
U1064	El Herradero Restaurante and Bar	4
U1081	Restaurante Pueblo Bonito	5
U1081	pizza clasica	1
U1064	Abondance Restaurante Bar	1
U1081	Restaurant de Mariscos de Picon	0
U1064	Restaurante Marisco Sam	2
U1064	La Cantina Restaurante	4
U1081	puesto de tacos	2
U1081	Cafeteria y Restaurant El Pacifico	2
U1081	La Virreina	5
U1081	Tortas Locas Hipocampo	4
U1081	La Cantina Restaurante	2
U1081	Preambulo Wifi Zone Cafe	3
U1081	Restaurant Orizatlan	2
U1001	Rincon Huasteco	3
U1001	puesto de tacos	5
U1014	Restaurante Pueblo Bonito	4
U1088	Rincon Huasteco	4
U1088	Potzocalli	6
U1014	Abondance Restaurante Bar	2
U1014	Restaurante la Estrella de Dima	6
U1088	El Herradero Restaurante and Bar	5
